LangName,Weeks,Category
Danish,24,1
Dutch,24,1
French,30,1
Italian,24,1
Norwegian Bokmål,24,1
Portuguese,24,1
Romanian,24,1
Spanish,24,1
Swedish,24,1
German,36,2
Haitian,36,2
Indonesian,36,2
Malay,36,2
Albanian,44,3
Amharic,44,3
Armenian,44,3
Bengali,44,3
Bulgarian,44,3
Burmese,44,3
Czech,44,3
Finnish,44,3
Georgian,44,3
Modern Greek,44,3
Hebrew,44,3
Hindi,44,3
Hungarian,44,3
Icelandic,44,3
Kazakh,44,3
Khmer,44,3
Northern Kurdish,44,3
Lao,44,3
Lithuanian,44,3
Macedonian,44,3
Mongolian,44,3
Nepali,44,3
Polish,44,3
Russian,44,3
Croatian,44,3
Sinhala,44,3
Slovak,44,3
Slovenian,44,3
Somali,44,3
Tagalog,44,3
Tajik,44,3
Tamil,44,3
Telugu,44,3
Thai,44,3
Turkish,44,3
Turkmen,44,3
Ukrainian,44,3
Urdu,44,3
Vietnamese,44,3
Standard Arabic,88,4
Chinese,88,4
Japanese,88,4
Korean,88,4